psmsl_id,process,confidence,scenario,quantile,2020,2030,2040,2050,2060,2070,2080,2090,2100,2110,2120,2130,2140,2150
174,total,medium,ssp119,5,0.018,0.044,0.063,0.094,0.102,0.119,0.129,0.148,0.124,0.152,0.159,0.163,0.166,0.168
174,total,medium,ssp119,17,0.03,0.062,0.08599999999999999,0.12,0.135,0.162,0.181,0.206,0.201,0.222,0.236,0.249,0.26,0.27
174,total,medium,ssp119,50,0.046,0.08799999999999999,0.122,0.166,0.192,0.236,0.272,0.313,0.334,0.377,0.41,0.442,0.472,0.502
174,total,medium,ssp119,83,0.065,0.122,0.173,0.234,0.282,0.35,0.409,0.476,0.521,0.593,0.652,0.709,0.765,0.821
174,total,medium,ssp119,95,0.082,0.152,0.217,0.296,0.362,0.452,0.532,0.618,0.6850000000000001,0.769,0.849,0.924,1.002,1.077
174,total,medium,ssp126,5,-0.013,0.014,0.044,0.08,0.103,0.136,0.158,0.175,0.146,0.164,0.173,0.18,0.185,0.191
174,total,medium,ssp126,17,0.008999999999999999,0.039,0.07199999999999999,0.113,0.141,0.181,0.21,0.238,0.238,0.263,0.283,0.303,0.321,0.338
174,total,medium,ssp126,50,0.04,0.078,0.116,0.168,0.207,0.26,0.306,0.35,0.398,0.462,0.508,0.553,0.598,0.64
174,total,medium,ssp126,83,0.073,0.122,0.172,0.241,0.301,0.377,0.452,0.523,0.612,0.719,0.799,0.877,0.956,1.033
174,total,medium,ssp126,95,0.098,0.156,0.219,0.305,0.386,0.487,0.582,0.677,0.796,0.914,1.018,1.119,1.221,1.321
174,total,medium,ssp245,5,-0.007,0.023,0.057,0.092,0.129,0.169,0.204,0.24,0.287,0.307,0.341,0.375,0.407,0.438
174,total,medium,ssp245,17,0.014,0.046,0.082,0.125,0.167,0.216,0.26,0.308,0.366,0.393,0.437,0.48,0.523,0.5639999999999999
174,total,medium,ssp245,50,0.042,0.08,0.122,0.179,0.232,0.299,0.365,0.434,0.514,0.586,0.658,0.729,0.798,0.866
174,total,medium,ssp245,83,0.073,0.119,0.175,0.254,0.329,0.426,0.524,0.63,0.743,0.87,0.981,1.093,1.203,1.311
174,total,medium,ssp245,95,0.096,0.152,0.221,0.318,0.417,0.537,0.661,0.794,0.948,1.091,1.234,1.374,1.516,1.656
174,total,medium,ssp370,5,0.002,0.025,0.059,0.101,0.141,0.198,0.249,0.311,0.374,0.383,0.442,0.502,0.5600000000000001,0.615
174,total,medium,ssp370,17,0.018,0.046,0.08400000000000001,0.132,0.178,0.242,0.307,0.383,0.462,0.485,0.5580000000000001,0.631,0.702,0.769
174,total,medium,ssp370,50,0.041,0.078,0.124,0.185,0.244,0.326,0.414,0.514,0.632,0.711,0.82,0.928,1.032,1.133
174,total,medium,ssp370,83,0.066,0.117,0.177,0.259,0.344,0.454,0.581,0.72,0.886,1.018,1.175,1.332,1.485,1.635
174,total,medium,ssp370,95,0.08599999999999999,0.149,0.224,0.326,0.434,0.572,0.731,0.908,1.117,1.281,1.472,1.668,1.861,2.05
174,total,medium,ssp585,5,0,0.032,0.068,0.118,0.164,0.227,0.296,0.383,0.459,0.458,0.526,0.591,0.652,0.709
174,total,medium,ssp585,17,0.016,0.053,0.096,0.151,0.205,0.277,0.355,0.454,0.554,0.569,0.653,0.734,0.8080000000000001,0.878
174,total,medium,ssp585,50,0.04,0.08500000000000001,0.14,0.208,0.275,0.366,0.47,0.591,0.734,0.827,0.95,1.068,1.18,1.287
174,total,medium,ssp585,83,0.066,0.124,0.198,0.286,0.381,0.507,0.651,0.8179999999999999,1.023,1.205,1.39,1.568,1.744,1.911
174,total,medium,ssp585,95,0.08599999999999999,0.155,0.248,0.356,0.476,0.634,0.8149999999999999,1.032,1.279,1.508,1.739,1.966,2.188,2.407
174,total,low,ssp126,5,-0.013,0.014,0.044,0.08,0.103,0.136,0.158,0.175,0.146,0.164,0.173,0.18,0.185,0.191
174,total,low,ssp126,17,0.008999999999999999,0.039,0.07199999999999999,0.113,0.141,0.181,0.21,0.238,0.238,0.263,0.283,0.303,0.321,0.338
174,total,low,ssp126,50,0.043,0.082,0.123,0.176,0.219,0.273,0.321,0.367,0.417,0.484,0.538,0.591,0.646,0.701
174,total,low,ssp126,83,0.082,0.142,0.217,0.307,0.394,0.485,0.581,0.6830000000000001,0.801,0.914,1.027,1.14,1.256,1.376
174,total,low,ssp126,95,0.104,0.179,0.283,0.405,0.523,0.648,0.793,0.95,1.119,1.289,1.452,1.618,1.784,1.952
174,total,low,ssp585,5,0,0.031,0.065,0.111,0.16,0.227,0.296,0.383,0.453,0.458,0.526,0.591,0.652,0.709
174,total,low,ssp585,17,0.016,0.051,0.093,0.147,0.199,0.277,0.355,0.454,0.554,0.569,0.653,0.734,0.8080000000000001,0.878
174,total,low,ssp585,50,0.042,0.08799999999999999,0.145,0.216,0.293,0.397,0.523,0.676,0.862,1.034,1.242,1.47,1.72,1.998
174,total,low,ssp585,83,0.075,0.149,0.258,0.392,0.5620000000000001,0.783,1.04,1.335,1.663,1.969,2.265,2.976,3.983,5.084
174,total,low,ssp585,95,0.093,0.197,0.358,0.551,0.777,1.074,1.444,1.875,2.389,2.977,3.602,4.285,5.019,5.776
