psmsl_id,process,confidence,scenario,quantile,2020,2030,2040,2050,2060,2070,2080,2090,2100,2110,2120,2130,2140,2150
1676,total,medium,tlim1.5win0.25,5,-0.008,0.005,0.017,0.039,0.048,0.06,0.074,0.08699999999999999,0.042,-0.035,-0.052,-0.07199999999999999,-0.094,-0.116
1676,total,medium,tlim1.5win0.25,17,0.011,0.032,0.052,0.082,0.102,0.125,0.148,0.174,0.169,0.111,0.113,0.113,0.112,0.111
1676,total,medium,tlim1.5win0.25,50,0.038,0.07199999999999999,0.106,0.15,0.189,0.233,0.275,0.324,0.378,0.352,0.386,0.418,0.45,0.482
1676,total,medium,tlim1.5win0.25,83,0.067,0.119,0.169,0.234,0.296,0.365,0.432,0.507,0.618,0.627,0.697,0.765,0.834,0.899
1676,total,medium,tlim1.5win0.25,95,0.08799999999999999,0.153,0.218,0.299,0.381,0.472,0.5570000000000001,0.658,0.802,0.825,0.919,1.012,1.106,1.197
1676,total,medium,tlim2.0win0.25,5,-0.003,-0.001,0.015,0.046,0.06,0.083,0.111,0.135,0.129,0.075,0.078,0.08,0.081,0.08
1676,total,medium,tlim2.0win0.25,17,0.012,0.026,0.051,0.092,0.117,0.151,0.189,0.222,0.251,0.207,0.225,0.241,0.256,0.268
1676,total,medium,tlim2.0win0.25,50,0.035,0.068,0.11,0.168,0.212,0.266,0.325,0.376,0.454,0.447,0.492,0.536,0.578,0.619
1676,total,medium,tlim2.0win0.25,83,0.061,0.116,0.18,0.258,0.329,0.413,0.498,0.578,0.701,0.738,0.8179999999999999,0.896,0.972,1.048
1676,total,medium,tlim2.0win0.25,95,0.081,0.153,0.233,0.33,0.422,0.531,0.639,0.739,0.901,0.953,1.058,1.163,1.265,1.368
1676,total,medium,tlim3.0win0.25,5,-0.04,-0.011,0.012,0.04,0.075,0.128,0.166,0.209,0.269,0.233,0.265,0.294,0.323,0.35
1676,total,medium,tlim3.0win0.25,17,-0.008,0.02,0.05,0.09,0.132,0.19,0.243,0.302,0.376,0.347,0.392,0.435,0.478,0.519
1676,total,medium,tlim3.0win0.25,50,0.033,0.065,0.107,0.169,0.225,0.298,0.376,0.46,0.5600000000000001,0.579,0.654,0.73,0.804,0.877
1676,total,medium,tlim3.0win0.25,83,0.075,0.116,0.175,0.264,0.343,0.442,0.553,0.675,0.8100000000000001,0.89,1.007,1.125,1.242,1.36
1676,total,medium,tlim3.0win0.25,95,0.11,0.156,0.228,0.339,0.44,0.5600000000000001,0.7,0.85,1.024,1.123,1.272,1.422,1.571,1.72
1676,total,medium,tlim4.0win0.25,5,-0.017,-0.01,0.018,0.051,0.08699999999999999,0.129,0.173,0.239,0.314,0.27,0.32,0.366,0.409,0.451
1676,total,medium,tlim4.0win0.25,17,0.002,0.018,0.053,0.097,0.142,0.196,0.255,0.333,0.429,0.403,0.466,0.528,0.587,0.644
1676,total,medium,tlim4.0win0.25,50,0.028,0.06,0.108,0.169,0.234,0.308,0.396,0.5,0.634,0.664,0.761,0.858,0.953,1.044
1676,total,medium,tlim4.0win0.25,83,0.056,0.108,0.174,0.259,0.351,0.458,0.584,0.727,0.907,0.996,1.14,1.284,1.428,1.567
1676,total,medium,tlim4.0win0.25,95,0.079,0.146,0.226,0.331,0.446,0.578,0.741,0.92,1.141,1.261,1.441,1.622,1.802,1.976
1676,total,medium,tlim5.0win0.25,5,-0.011,0.012,0.043,0.09,0.13,0.186,0.249,0.332,0.406,0.329,0.383,0.435,0.482,0.525
1676,total,medium,tlim5.0win0.25,17,0.007,0.038,0.078,0.134,0.184,0.25,0.324,0.427,0.522,0.467,0.538,0.608,0.672,0.73
1676,total,medium,tlim5.0win0.25,50,0.032,0.076,0.134,0.206,0.276,0.364,0.466,0.596,0.726,0.754,0.868,0.978,1.083,1.182
1676,total,medium,tlim5.0win0.25,83,0.059,0.121,0.201,0.298,0.397,0.522,0.665,0.841,1.03,1.138,1.311,1.48,1.643,1.805
1676,total,medium,tlim5.0win0.25,95,0.082,0.157,0.254,0.371,0.494,0.649,0.827,1.042,1.277,1.422,1.639,1.848,2.049,2.251
