psmsl_id,process,confidence,scenario,quantile,2020,2030,2040,2050,2060,2070,2080,2090,2100,2110,2120,2130,2140,2150
444,total,medium,ssp119,5,0.203,0.353,0.493,0.646,0.777,0.918,1.05,1.193,1.292,1.442,1.572,1.7,1.827,1.952
444,total,medium,ssp119,17,0.214,0.37,0.516,0.673,0.8110000000000001,0.96,1.102,1.251,1.369,1.513,1.65,1.786,1.92,2.053
444,total,medium,ssp119,50,0.23,0.396,0.552,0.718,0.868,1.034,1.193,1.356,1.502,1.666,1.823,1.977,2.13,2.282
444,total,medium,ssp119,83,0.248,0.429,0.603,0.786,0.956,1.147,1.329,1.517,1.685,1.881,2.062,2.241,2.421,2.598
444,total,medium,ssp119,95,0.264,0.458,0.646,0.848,1.035,1.247,1.449,1.656,1.847,2.054,2.255,2.453,2.653,2.85
444,total,medium,ssp126,5,0.171,0.32,0.472,0.631,0.778,0.9340000000000001,1.078,1.218,1.325,1.469,1.604,1.737,1.869,2
444,total,medium,ssp126,17,0.193,0.345,0.501,0.664,0.8159999999999999,0.978,1.13,1.28,1.408,1.556,1.701,1.844,1.986,2.127
444,total,medium,ssp126,50,0.223,0.383,0.544,0.719,0.881,1.057,1.226,1.392,1.556,1.74,1.907,2.073,2.238,2.402
444,total,medium,ssp126,83,0.255,0.426,0.599,0.793,0.973,1.172,1.37,1.562,1.759,1.985,2.183,2.381,2.577,2.773
444,total,medium,ssp126,95,0.279,0.46,0.646,0.857,1.057,1.28,1.498,1.713,1.939,2.174,2.394,2.614,2.834,3.052
444,total,medium,ssp245,5,0.177,0.329,0.484,0.643,0.803,0.966,1.125,1.283,1.458,1.603,1.761,1.917,2.072,2.226
444,total,medium,ssp245,17,0.198,0.352,0.51,0.676,0.841,1.013,1.18,1.35,1.536,1.687,1.854,2.021,2.187,2.351
444,total,medium,ssp245,50,0.226,0.386,0.552,0.732,0.908,1.096,1.284,1.475,1.681,1.877,2.07,2.264,2.456,2.648
444,total,medium,ssp245,83,0.257,0.426,0.605,0.806,1.004,1.222,1.441,1.669,1.907,2.156,2.389,2.622,2.854,3.085
444,total,medium,ssp245,95,0.28,0.459,0.651,0.869,1.091,1.332,1.576,1.83,2.108,2.372,2.637,2.899,3.162,3.422
444,total,medium,ssp370,5,0.185,0.331,0.488,0.652,0.8139999999999999,0.991,1.166,1.352,1.539,1.674,1.857,2.038,2.219,2.397
444,total,medium,ssp370,17,0.202,0.353,0.513,0.6830000000000001,0.852,1.037,1.224,1.424,1.626,1.771,1.967,2.163,2.355,2.546
444,total,medium,ssp370,50,0.225,0.386,0.554,0.738,0.92,1.122,1.333,1.554,1.79,1.991,2.22,2.449,2.674,2.896
444,total,medium,ssp370,83,0.25,0.425,0.607,0.8120000000000001,1.02,1.25,1.498,1.758,2.039,2.291,2.567,2.842,3.116,3.386
444,total,medium,ssp370,95,0.27,0.457,0.654,0.878,1.109,1.367,1.646,1.945,2.266,2.55,2.863,3.178,3.486,3.792
444,total,medium,ssp585,5,0.182,0.337,0.496,0.668,0.837,1.025,1.218,1.428,1.618,1.74,1.932,2.119,2.303,2.482
444,total,medium,ssp585,17,0.199,0.358,0.525,0.703,0.879,1.073,1.275,1.497,1.713,1.852,2.058,2.261,2.457,2.649
444,total,medium,ssp585,50,0.224,0.392,0.569,0.759,0.948,1.16,1.386,1.631,1.893,2.107,2.352,2.592,2.826,3.054
444,total,medium,ssp585,83,0.251,0.431,0.627,0.838,1.054,1.298,1.563,1.853,2.178,2.481,2.787,3.086,3.382,3.672
444,total,medium,ssp585,95,0.272,0.463,0.676,0.906,1.147,1.424,1.724,2.063,2.431,2.78,3.131,3.48,3.823,4.162
444,total,low,ssp126,5,0.171,0.32,0.472,0.631,0.778,0.9340000000000001,1.078,1.218,1.325,1.469,1.604,1.737,1.869,2
444,total,low,ssp126,17,0.193,0.345,0.501,0.664,0.8159999999999999,0.978,1.13,1.28,1.408,1.556,1.701,1.844,1.986,2.127
444,total,low,ssp126,50,0.226,0.387,0.551,0.727,0.893,1.07,1.241,1.408,1.574,1.762,1.936,2.11,2.285,2.462
444,total,low,ssp126,83,0.263,0.446,0.644,0.857,1.065,1.279,1.498,1.72,1.949,2.18,2.414,2.645,2.881,3.123
444,total,low,ssp126,95,0.285,0.482,0.709,0.953,1.191,1.439,1.706,1.981,2.268,2.554,2.831,3.117,3.399,3.689
444,total,low,ssp585,5,0.182,0.336,0.493,0.663,0.833,1.025,1.218,1.428,1.614,1.74,1.932,2.119,2.303,2.482
444,total,low,ssp585,17,0.199,0.357,0.522,0.698,0.872,1.073,1.275,1.497,1.713,1.852,2.058,2.261,2.457,2.649
444,total,low,ssp585,50,0.226,0.394,0.574,0.767,0.966,1.192,1.438,1.714,2.018,2.312,2.639,2.987,3.357,3.754
444,total,low,ssp585,83,0.26,0.456,0.6860000000000001,0.9419999999999999,1.231,1.571,1.948,2.363,2.809,3.232,3.648,4.469,5.582,6.786
444,total,low,ssp585,95,0.279,0.502,0.784,1.097,1.442,1.857,2.344,2.894,3.523,4.224,4.964,5.761,6.611,7.469
