psmsl_id,process,confidence,scenario,quantile,2020,2030,2040,2050,2060,2070,2080,2090,2100,2110,2120,2130,2140,2150
444,total,medium,tlim1.5win0.25,5,0.194,0.338,0.489,0.643,0.794,0.9429999999999999,1.087,1.232,1.353,1.437,1.566,1.694,1.822,1.947
444,total,medium,tlim1.5win0.25,17,0.208,0.358,0.511,0.67,0.824,0.98,1.133,1.286,1.426,1.505,1.642,1.778,1.913,2.047
444,total,medium,tlim1.5win0.25,50,0.226,0.387,0.547,0.714,0.876,1.048,1.214,1.388,1.552,1.65,1.806,1.96,2.114,2.268
444,total,medium,tlim1.5win0.25,83,0.248,0.422,0.594,0.777,0.956,1.147,1.338,1.534,1.723,1.843,2.022,2.2,2.378,2.553
444,total,medium,tlim1.5win0.25,95,0.265,0.451,0.634,0.832,1.028,1.24,1.45,1.666,1.876,1.995,2.194,2.391,2.587,2.782
444,total,medium,tlim2.0win0.25,5,0.196,0.335,0.487,0.649,0.786,0.945,1.114,1.271,1.406,1.494,1.632,1.769,1.904,2.038
444,total,medium,tlim2.0win0.25,17,0.208,0.356,0.512,0.6830000000000001,0.833,0.997,1.171,1.333,1.492,1.585,1.732,1.878,2.023,2.167
444,total,medium,tlim2.0win0.25,50,0.225,0.386,0.554,0.739,0.908,1.086,1.272,1.448,1.644,1.765,1.935,2.103,2.27,2.436
444,total,medium,tlim2.0win0.25,83,0.245,0.425,0.61,0.8159999999999999,1.01,1.211,1.419,1.617,1.848,2.007,2.208,2.407,2.605,2.803
444,total,medium,tlim2.0win0.25,95,0.263,0.457,0.657,0.882,1.097,1.322,1.548,1.769,2.031,2.201,2.428,2.651,2.874,3.096
444,total,medium,tlim3.0win0.25,5,0.169,0.321,0.483,0.65,0.82,0.991,1.169,1.342,1.513,1.611,1.771,1.928,2.083,2.237
444,total,medium,tlim3.0win0.25,17,0.195,0.348,0.511,0.6870000000000001,0.86,1.039,1.223,1.405,1.598,1.699,1.87,2.039,2.206,2.371
444,total,medium,tlim3.0win0.25,50,0.227,0.386,0.553,0.744,0.926,1.12,1.321,1.522,1.747,1.89,2.088,2.285,2.482,2.678
444,total,medium,tlim3.0win0.25,83,0.261,0.43,0.608,0.821,1.024,1.244,1.473,1.708,1.969,2.166,2.404,2.641,2.878,3.115
444,total,medium,tlim3.0win0.25,95,0.29,0.467,0.656,0.888,1.109,1.353,1.61,1.872,2.172,2.386,2.652,2.919,3.186,3.45
444,total,medium,tlim4.0win0.25,5,0.187,0.321,0.493,0.663,0.828,1.007,1.188,1.39,1.593,1.69,1.868,2.047,2.225,2.399
444,total,medium,tlim4.0win0.25,17,0.202,0.346,0.518,0.6929999999999999,0.866,1.05,1.241,1.451,1.671,1.778,1.97,2.16,2.35,2.537
444,total,medium,tlim4.0win0.25,50,0.222,0.38,0.5570000000000001,0.742,0.931,1.131,1.343,1.57,1.82,1.977,2.198,2.42,2.64,2.857
444,total,medium,tlim4.0win0.25,83,0.243,0.421,0.61,0.8129999999999999,1.027,1.255,1.501,1.767,2.054,2.262,2.528,2.794,3.058,3.317
444,total,medium,tlim4.0win0.25,95,0.263,0.455,0.656,0.877,1.11,1.362,1.641,1.94,2.26,2.498,2.797,3.097,3.397,3.69
444,total,medium,tlim5.0win0.25,5,0.201,0.36,0.523,0.703,0.872,1.058,1.258,1.466,1.689,1.752,1.943,2.132,2.318,2.496
444,total,medium,tlim5.0win0.25,17,0.211,0.373,0.543,0.727,0.905,1.1,1.306,1.534,1.771,1.854,2.058,2.261,2.457,2.649
444,total,medium,tlim5.0win0.25,50,0.226,0.396,0.577,0.772,0.967,1.18,1.407,1.662,1.924,2.083,2.324,2.563,2.795,3.022
444,total,medium,tlim5.0win0.25,83,0.246,0.426,0.627,0.844,1.065,1.313,1.577,1.877,2.188,2.42,2.715,3.008,3.294,3.577
444,total,medium,tlim5.0win0.25,95,0.262,0.454,0.672,0.91,1.155,1.433,1.731,2.066,2.422,2.689,3.027,3.358,3.683,4.005
