psmsl_id,process,confidence,scenario,quantile,2020,2030,2040,2050,2060,2070,2080,2090,2100,2110,2120,2130,2140,2150
1792,total,medium,tlim1.5win0.25,5,0.003,0.023,0.043,0.067,0.08500000000000001,0.106,0.126,0.143,0.145,0.095,0.098,0.101,0.101,0.1
1792,total,medium,tlim1.5win0.25,17,0.022,0.051,0.08,0.114,0.142,0.175,0.204,0.237,0.256,0.211,0.227,0.241,0.254,0.266
1792,total,medium,tlim1.5win0.25,50,0.049,0.094,0.137,0.189,0.234,0.288,0.34,0.395,0.441,0.42,0.458,0.496,0.532,0.5679999999999999
1792,total,medium,tlim1.5win0.25,83,0.079,0.141,0.203,0.276,0.344,0.423,0.499,0.584,0.656,0.663,0.729,0.794,0.858,0.922
1792,total,medium,tlim1.5win0.25,95,0.101,0.176,0.253,0.343,0.428,0.53,0.626,0.736,0.827,0.84,0.927,1.009,1.093,1.177
1792,total,medium,tlim2.0win0.25,5,0.006,0.02,0.043,0.077,0.09,0.124,0.161,0.192,0.211,0.168,0.18,0.192,0.201,0.209
1792,total,medium,tlim2.0win0.25,17,0.023,0.048,0.083,0.129,0.157,0.2,0.248,0.287,0.335,0.304,0.329,0.355,0.378,0.402
1792,total,medium,tlim2.0win0.25,50,0.048,0.093,0.145,0.212,0.264,0.327,0.395,0.454,0.544,0.547,0.6,0.654,0.706,0.756
1792,total,medium,tlim2.0win0.25,83,0.077,0.143,0.217,0.31,0.393,0.482,0.575,0.662,0.794,0.841,0.928,1.016,1.101,1.186
1792,total,medium,tlim2.0win0.25,95,0.098,0.18,0.272,0.385,0.489,0.602,0.718,0.826,0.994,1.056,1.169,1.281,1.392,1.502
1792,total,medium,tlim3.0win0.25,5,-0.017,0.008,0.036,0.073,0.115,0.169,0.217,0.264,0.319,0.289,0.325,0.359,0.391,0.422
1792,total,medium,tlim3.0win0.25,17,0.013,0.042,0.078,0.128,0.178,0.24,0.302,0.365,0.438,0.417,0.467,0.514,0.5620000000000001,0.608
1792,total,medium,tlim3.0win0.25,50,0.052,0.092,0.141,0.214,0.28,0.362,0.448,0.537,0.639,0.666,0.748,0.829,0.91,0.989
1792,total,medium,tlim3.0win0.25,83,0.093,0.149,0.214,0.314,0.405,0.515,0.634,0.759,0.9,0.985,1.109,1.234,1.358,1.481
1792,total,medium,tlim3.0win0.25,95,0.126,0.191,0.269,0.391,0.504,0.638,0.783,0.9399999999999999,1.117,1.222,1.377,1.532,1.69,1.846
1792,total,medium,tlim4.0win0.25,5,-0.002,0.007,0.046,0.08799999999999999,0.128,0.18,0.234,0.31,0.398,0.368,0.425,0.479,0.535,0.585
1792,total,medium,tlim4.0win0.25,17,0.018,0.039,0.08599999999999999,0.137,0.189,0.252,0.321,0.408,0.513,0.497,0.5679999999999999,0.638,0.707,0.774
1792,total,medium,tlim4.0win0.25,50,0.045,0.08599999999999999,0.146,0.215,0.288,0.372,0.468,0.582,0.719,0.757,0.862,0.968,1.073,1.172
1792,total,medium,tlim4.0win0.25,83,0.075,0.139,0.218,0.311,0.411,0.527,0.661,0.8110000000000001,0.99,1.086,1.239,1.392,1.543,1.691
1792,total,medium,tlim4.0win0.25,95,0.099,0.18,0.272,0.384,0.509,0.651,0.819,1.003,1.221,1.346,1.533,1.722,1.911,2.093
1792,total,medium,tlim5.0win0.25,5,0.008,0.037,0.07199999999999999,0.126,0.168,0.229,0.303,0.394,0.497,0.438,0.507,0.573,0.635,0.6919999999999999
1792,total,medium,tlim5.0win0.25,17,0.025,0.062,0.11,0.172,0.227,0.3,0.385,0.497,0.614,0.575,0.66,0.744,0.82,0.891
1792,total,medium,tlim5.0win0.25,50,0.05,0.103,0.169,0.25,0.328,0.426,0.536,0.676,0.822,0.862,0.986,1.109,1.225,1.335
1792,total,medium,tlim5.0win0.25,83,0.079,0.149,0.24,0.346,0.455,0.59,0.74,0.926,1.125,1.244,1.425,1.604,1.778,1.949
1792,total,medium,tlim5.0win0.25,95,0.101,0.184,0.292,0.42,0.554,0.718,0.899,1.124,1.366,1.523,1.748,1.963,2.177,2.386
