psmsl_id,process,confidence,scenario,quantile,2020,2030,2040,2050,2060,2070,2080,2090,2100,2110,2120,2130,2140,2150
174,total,medium,tlim1.5win0.25,5,0.006,0.033,0.062,0.093,0.12,0.145,0.166,0.187,0.185,0.143,0.149,0.154,0.157,0.159
174,total,medium,tlim1.5win0.25,17,0.021,0.052,0.083,0.119,0.148,0.182,0.211,0.242,0.257,0.211,0.225,0.237,0.249,0.259
174,total,medium,tlim1.5win0.25,50,0.04,0.079,0.117,0.162,0.2,0.248,0.293,0.342,0.384,0.358,0.39,0.421,0.452,0.482
174,total,medium,tlim1.5win0.25,83,0.063,0.113,0.163,0.225,0.281,0.35,0.417,0.491,0.556,0.551,0.609,0.664,0.718,0.772
174,total,medium,tlim1.5win0.25,95,0.082,0.141,0.203,0.28,0.354,0.444,0.532,0.626,0.711,0.708,0.782,0.857,0.93,1.003
174,total,medium,tlim2.0win0.25,5,0.012,0.031,0.061,0.098,0.113,0.153,0.197,0.229,0.239,0.201,0.217,0.231,0.243,0.254
174,total,medium,tlim2.0win0.25,17,0.024,0.05,0.08500000000000001,0.131,0.158,0.202,0.252,0.289,0.329,0.298,0.323,0.346,0.369,0.389
174,total,medium,tlim2.0win0.25,50,0.04,0.079,0.125,0.186,0.232,0.29,0.35,0.402,0.487,0.486,0.534,0.58,0.626,0.67
174,total,medium,tlim2.0win0.25,83,0.06,0.116,0.18,0.262,0.334,0.413,0.497,0.572,0.698,0.737,0.8159999999999999,0.896,0.972,1.047
174,total,medium,tlim2.0win0.25,95,0.077,0.147,0.225,0.327,0.421,0.524,0.626,0.725,0.885,0.9360000000000001,1.041,1.143,1.245,1.345
174,total,medium,tlim3.0win0.25,5,-0.015,0.015,0.053,0.092,0.14,0.197,0.251,0.3,0.35,0.323,0.361,0.396,0.43,0.462
174,total,medium,tlim3.0win0.25,17,0.012,0.041,0.079,0.129,0.18,0.243,0.304,0.364,0.433,0.409,0.458,0.505,0.55,0.593
174,total,medium,tlim3.0win0.25,50,0.045,0.079,0.121,0.187,0.247,0.322,0.402,0.484,0.58,0.6,0.674,0.75,0.823,0.896
174,total,medium,tlim3.0win0.25,83,0.08,0.124,0.176,0.267,0.347,0.446,0.556,0.672,0.805,0.878,0.994,1.109,1.223,1.337
174,total,medium,tlim3.0win0.25,95,0.109,0.16,0.224,0.334,0.434,0.555,0.694,0.839,1.008,1.101,1.243,1.389,1.532,1.674
174,total,medium,tlim4.0win0.25,5,0.002,0.014,0.062,0.11,0.154,0.212,0.269,0.349,0.429,0.4,0.456,0.512,0.5659999999999999,0.619
174,total,medium,tlim4.0win0.25,17,0.017,0.039,0.08699999999999999,0.14,0.192,0.254,0.322,0.409,0.508,0.49,0.5590000000000001,0.627,0.694,0.758
174,total,medium,tlim4.0win0.25,50,0.038,0.07199999999999999,0.126,0.19,0.257,0.334,0.423,0.529,0.658,0.6919999999999999,0.791,0.891,0.988,1.083
174,total,medium,tlim4.0win0.25,83,0.06,0.113,0.18,0.262,0.353,0.458,0.583,0.727,0.896,0.981,1.125,1.27,1.412,1.55
174,total,medium,tlim4.0win0.25,95,0.08,0.148,0.227,0.327,0.438,0.5669999999999999,0.726,0.902,1.105,1.22,1.4,1.58,1.759,1.93
174,total,medium,tlim5.0win0.25,5,0.015,0.052,0.093,0.15,0.196,0.259,0.338,0.425,0.528,0.466,0.535,0.602,0.666,0.722
174,total,medium,tlim5.0win0.25,17,0.026,0.065,0.113,0.175,0.231,0.303,0.387,0.494,0.609,0.5679999999999999,0.651,0.731,0.805,0.875
174,total,medium,tlim5.0win0.25,50,0.042,0.08799999999999999,0.148,0.221,0.294,0.385,0.49,0.624,0.764,0.8,0.92,1.036,1.148,1.252
174,total,medium,tlim5.0win0.25,83,0.063,0.12,0.199,0.294,0.394,0.521,0.663,0.842,1.032,1.142,1.317,1.489,1.654,1.815
174,total,medium,tlim5.0win0.25,95,0.08,0.149,0.244,0.361,0.485,0.642,0.82,1.034,1.27,1.417,1.633,1.845,2.051,2.251
