psmsl_id,process,confidence,scenario,quantile,2020,2030,2040,2050,2060,2070,2080,2090,2100,2110,2120,2130,2140,2150
1676,total,medium,ssp119,5,-0.007,0.015,0.022,0.038,0.034,0.046,0.047,0.053,0.008,0.017,0.013,0.005,-0.004,-0.013
1676,total,medium,ssp119,17,0.012,0.04,0.056,0.081,0.08799999999999999,0.111,0.123,0.143,0.117,0.128,0.134,0.138,0.141,0.144
1676,total,medium,ssp119,50,0.039,0.079,0.11,0.15,0.174,0.218,0.252,0.294,0.296,0.337,0.367,0.395,0.422,0.447
1676,total,medium,ssp119,83,0.068,0.124,0.174,0.237,0.287,0.357,0.418,0.487,0.521,0.594,0.653,0.71,0.765,0.82
1676,total,medium,ssp119,95,0.091,0.158,0.224,0.304,0.375,0.468,0.549,0.637,0.696,0.784,0.864,0.9419999999999999,1.018,1.094
1676,total,medium,ssp126,5,-0.023,-0.006,0.01,0.032,0.042,0.063,0.074,0.08400000000000001,0.052,0.056,0.054,0.05,0.046,0.04
1676,total,medium,ssp126,17,0,0.024,0.046,0.077,0.097,0.127,0.15,0.173,0.172,0.19,0.205,0.218,0.23,0.24
1676,total,medium,ssp126,50,0.033,0.067,0.102,0.15,0.188,0.238,0.283,0.328,0.376,0.438,0.484,0.53,0.572,0.615
1676,total,medium,ssp126,83,0.068,0.116,0.169,0.239,0.301,0.378,0.452,0.527,0.623,0.735,0.8179999999999999,0.901,0.982,1.062
1676,total,medium,ssp126,95,0.093,0.153,0.221,0.31,0.394,0.492,0.594,0.6919999999999999,0.823,0.95,1.062,1.171,1.278,1.384
1676,total,medium,ssp245,5,-0.014,-0.002,0.017,0.042,0.065,0.097,0.122,0.149,0.175,0.186,0.21,0.233,0.254,0.276
1676,total,medium,ssp245,17,0.006,0.026,0.052,0.08699999999999999,0.12,0.163,0.203,0.242,0.29,0.311,0.348,0.385,0.42,0.454
1676,total,medium,ssp245,50,0.034,0.067,0.107,0.16,0.21,0.274,0.339,0.406,0.485,0.556,0.625,0.6929999999999999,0.76,0.826
1676,total,medium,ssp245,83,0.065,0.114,0.172,0.25,0.326,0.424,0.523,0.628,0.748,0.876,0.988,1.099,1.208,1.317
1676,total,medium,ssp245,95,0.08799999999999999,0.15,0.223,0.32,0.418,0.54,0.669,0.804,0.97,1.117,1.258,1.403,1.546,1.684
1676,total,medium,ssp370,5,-0.013,-0.005,0.019,0.053,0.077,0.12,0.163,0.217,0.262,0.259,0.305,0.351,0.393,0.433
1676,total,medium,ssp370,17,0.006,0.024,0.053,0.096,0.131,0.187,0.244,0.313,0.383,0.394,0.458,0.522,0.584,0.642
1676,total,medium,ssp370,50,0.033,0.066,0.108,0.168,0.222,0.3,0.386,0.483,0.596,0.671,0.776,0.879,0.981,1.078
1676,total,medium,ssp370,83,0.062,0.114,0.174,0.257,0.34,0.448,0.574,0.715,0.88,1.018,1.174,1.329,1.484,1.635
1676,total,medium,ssp370,95,0.08400000000000001,0.152,0.225,0.33,0.436,0.57,0.728,0.91,1.119,1.285,1.483,1.68,1.874,2.066
1676,total,medium,ssp585,5,-0.011,0.008999999999999999,0.029,0.06900000000000001,0.104,0.151,0.204,0.28,0.353,0.343,0.401,0.457,0.509,0.556
1676,total,medium,ssp585,17,0.007,0.034,0.066,0.114,0.16,0.22,0.288,0.379,0.476,0.486,0.5639999999999999,0.637,0.704,0.765
1676,total,medium,ssp585,50,0.032,0.074,0.123,0.188,0.253,0.339,0.438,0.556,0.699,0.789,0.908,1.023,1.132,1.235
1676,total,medium,ssp585,83,0.061,0.119,0.192,0.28,0.375,0.5,0.643,0.8100000000000001,1.016,1.199,1.382,1.56,1.732,1.899
1676,total,medium,ssp585,95,0.082,0.153,0.246,0.357,0.48,0.638,0.82,1.028,1.286,1.517,1.749,1.975,2.194,2.41
1676,total,low,ssp126,5,-0.023,-0.006,0.01,0.032,0.042,0.063,0.074,0.08400000000000001,0.052,0.056,0.054,0.05,0.046,0.04
1676,total,low,ssp126,17,0,0.024,0.046,0.077,0.097,0.127,0.15,0.173,0.172,0.19,0.205,0.218,0.23,0.24
1676,total,low,ssp126,50,0.036,0.07199999999999999,0.109,0.159,0.201,0.251,0.298,0.345,0.396,0.462,0.516,0.57,0.624,0.68
1676,total,low,ssp126,83,0.077,0.137,0.214,0.302,0.392,0.481,0.577,0.677,0.803,0.916,1.031,1.146,1.268,1.39
1676,total,low,ssp126,95,0.101,0.176,0.284,0.406,0.522,0.645,0.79,0.95,1.133,1.302,1.473,1.646,1.818,1.989
1676,total,low,ssp585,5,-0.011,0.008,0.027,0.065,0.1,0.151,0.204,0.28,0.353,0.343,0.401,0.457,0.509,0.556
1676,total,low,ssp585,17,0.006,0.033,0.064,0.109,0.155,0.22,0.288,0.379,0.476,0.486,0.5639999999999999,0.637,0.704,0.765
1676,total,low,ssp585,50,0.035,0.076,0.128,0.196,0.272,0.372,0.493,0.644,0.831,1.003,1.208,1.436,1.688,1.965
1676,total,low,ssp585,83,0.07099999999999999,0.144,0.249,0.383,0.553,0.771,1.026,1.316,1.645,1.957,2.253,2.973,3.985,5.108
1676,total,low,ssp585,95,0.09,0.193,0.352,0.542,0.773,1.071,1.448,1.878,2.395,2.989,3.629,4.333,5.038,5.841
