psmsl_id,process,confidence,scenario,quantile,2020,2030,2040,2050,2060,2070,2080,2090,2100,2110,2120,2130,2140,2150
1792,total,medium,ssp119,5,0.011,0.032,0.045,0.068,0.07000000000000001,0.08599999999999999,0.093,0.108,0.08599999999999999,0.105,0.108,0.111,0.111,0.109
1792,total,medium,ssp119,17,0.028,0.06,0.083,0.117,0.13,0.158,0.177,0.205,0.201,0.221,0.237,0.249,0.262,0.274
1792,total,medium,ssp119,50,0.054,0.102,0.142,0.192,0.225,0.275,0.316,0.366,0.39,0.44,0.479,0.516,0.553,0.588
1792,total,medium,ssp119,83,0.082,0.151,0.212,0.285,0.343,0.42,0.49,0.5669999999999999,0.618,0.704,0.773,0.841,0.906,0.971
1792,total,medium,ssp119,95,0.103,0.186,0.264,0.355,0.432,0.534,0.623,0.718,0.796,0.894,0.984,1.073,1.158,1.244
1792,total,medium,ssp126,5,-0.015,0.007,0.03,0.059,0.077,0.106,0.123,0.139,0.122,0.136,0.144,0.149,0.154,0.158
1792,total,medium,ssp126,17,0.012,0.041,0.07099999999999999,0.111,0.139,0.178,0.207,0.236,0.246,0.272,0.295,0.316,0.337,0.357
1792,total,medium,ssp126,50,0.048,0.092,0.136,0.193,0.24,0.298,0.352,0.403,0.456,0.525,0.578,0.629,0.68,0.728
1792,total,medium,ssp126,83,0.08699999999999999,0.147,0.209,0.29,0.36,0.447,0.528,0.61,0.705,0.822,0.912,1,1.087,1.171
1792,total,medium,ssp126,95,0.114,0.187,0.265,0.363,0.455,0.5629999999999999,0.672,0.775,0.904,1.037,1.154,1.267,1.378,1.489
1792,total,medium,ssp245,5,-0.008999999999999999,0.015,0.041,0.07199999999999999,0.103,0.14,0.173,0.208,0.253,0.272,0.305,0.336,0.366,0.395
1792,total,medium,ssp245,17,0.016,0.047,0.081,0.123,0.165,0.215,0.262,0.308,0.371,0.4,0.447,0.492,0.537,0.58
1792,total,medium,ssp245,50,0.05,0.094,0.142,0.205,0.265,0.338,0.41,0.486,0.572,0.652,0.73,0.806,0.883,0.958
1792,total,medium,ssp245,83,0.08699999999999999,0.145,0.213,0.302,0.389,0.495,0.603,0.714,0.837,0.975,1.095,1.215,1.333,1.45
1792,total,medium,ssp245,95,0.114,0.184,0.266,0.376,0.484,0.611,0.75,0.892,1.055,1.212,1.365,1.515,1.668,1.815
1792,total,medium,ssp370,5,-0.002,0.016,0.043,0.081,0.116,0.168,0.219,0.282,0.347,0.359,0.418,0.476,0.533,0.588
1792,total,medium,ssp370,17,0.019,0.047,0.083,0.13,0.177,0.242,0.308,0.386,0.472,0.496,0.572,0.647,0.72,0.79
1792,total,medium,ssp370,50,0.049,0.092,0.144,0.212,0.278,0.366,0.46,0.5669999999999999,0.6909999999999999,0.776,0.89,1.004,1.116,1.222
1792,total,medium,ssp370,83,0.082,0.144,0.215,0.307,0.403,0.521,0.656,0.806,0.975,1.123,1.288,1.451,1.612,1.773
1792,total,medium,ssp370,95,0.106,0.182,0.269,0.382,0.5,0.646,0.8139999999999999,1.003,1.214,1.388,1.593,1.797,2,2.198
1792,total,medium,ssp585,5,-0.004,0.024,0.054,0.099,0.142,0.201,0.266,0.352,0.435,0.434,0.503,0.5679999999999999,0.629,0.6840000000000001
1792,total,medium,ssp585,17,0.017,0.054,0.096,0.151,0.204,0.276,0.356,0.457,0.5629999999999999,0.584,0.671,0.753,0.83,0.902
1792,total,medium,ssp585,50,0.048,0.099,0.16,0.234,0.308,0.405,0.514,0.644,0.794,0.892,1.022,1.146,1.266,1.379
1792,total,medium,ssp585,83,0.081,0.15,0.235,0.333,0.437,0.572,0.724,0.901,1.112,1.306,1.496,1.683,1.864,2.042
1792,total,medium,ssp585,95,0.105,0.188,0.292,0.413,0.544,0.709,0.901,1.121,1.382,1.618,1.859,2.097,2.331,2.554
1792,total,low,ssp126,5,-0.015,0.007,0.03,0.059,0.077,0.106,0.123,0.139,0.122,0.136,0.144,0.149,0.154,0.158
1792,total,low,ssp126,17,0.012,0.041,0.07099999999999999,0.111,0.139,0.178,0.207,0.236,0.246,0.272,0.295,0.316,0.337,0.357
1792,total,low,ssp126,50,0.051,0.096,0.143,0.202,0.252,0.312,0.367,0.42,0.475,0.549,0.608,0.669,0.73,0.793
1792,total,low,ssp126,83,0.095,0.166,0.252,0.349,0.446,0.545,0.648,0.754,0.883,1,1.119,1.241,1.366,1.493
1792,total,low,ssp126,95,0.122,0.209,0.323,0.452,0.576,0.71,0.86,1.025,1.212,1.384,1.562,1.735,1.912,2.09
1792,total,low,ssp585,5,-0.004,0.022,0.051,0.094,0.135,0.201,0.266,0.352,0.435,0.434,0.503,0.5679999999999999,0.629,0.6840000000000001
1792,total,low,ssp585,17,0.017,0.052,0.093,0.146,0.199,0.276,0.356,0.457,0.5629999999999999,0.584,0.671,0.753,0.83,0.902
1792,total,low,ssp585,50,0.05,0.102,0.165,0.242,0.326,0.437,0.5679999999999999,0.73,0.924,1.104,1.318,1.554,1.814,2.099
1792,total,low,ssp585,83,0.091,0.174,0.29,0.431,0.608,0.834,1.097,1.398,1.731,2.046,2.355,3.067,4.079,5.19
1792,total,low,ssp585,95,0.113,0.224,0.392,0.587,0.826,1.13,1.513,1.951,2.47,3.06,3.704,4.426,5.122,5.917
